"x"
"v"	-3.63947019969141e-07
"nai"	-7.50769154692254e-06
"nass"	-7.50768615782373e-06
"ki"	8.54269113208223e-06
"kss"	8.5427891892097e-06
"cai"	1.91359486262984e-10
"cass"	8.9469236726878e-11
"cansr"	-6.33660655694358e-06
"cajsr"	-2.26333690024338e-06
"m"	-2.6844006930919e-10
"hf"	1.26031647092153e-08
"hs"	1.35654067273416e-08
"j"	1.88716367855151e-08
"hsp"	1.84248149514498e-08
"jp"	2.23231328658193e-08
"mL"	-1.2977994755634e-11
"hL"	4.53754560426622e-07
"hLp"	1.16130016113922e-05
"a"	-2.48066019346984e-11
"iF"	3.15318807597156e-11
"iS"	0.000147685512026005
"ap"	-1.26458319694028e-11
"iFp"	3.11113977205794e-11
"iSp"	0.000123420033570624
"d"	-2.02494022489188e-16
"ff"	9.95775894228903e-16
"fs"	2.47546241764727e-05
"fcaf"	9.83333529506859e-16
"fcas"	9.61193924439084e-11
"jca"	5.15142003128706e-13
"nca"	6.979001820678e-09
"ffp"	1.15816396313392e-15
"fcafp"	1.14827979897253e-15
"xs1"	-5.79992704489364e-05
"xs2"	-1.12231702411137e-11
"xk1"	-1.17159865864539e-10
"Jrelnp"	6.42875750125888e-14
"Jrelp"	9.45681785800338e-14
"CaMKt"	-1.43836088589051e-06
"IC1"	8.68108547129432e-08
"IC2"	1.75104938487856e-12
"C1"	4.73153572137569e-16
"C2"	1.16434597996485e-12
"O"	-1.225698443593e-10
"IO"	-4.65625213319903e-11
"IObound"	-2.94371817562927e-07
"Obound"	-1.34237972722847e-07
"Cbound"	3.41965152070004e-07
"D"	0
"qNet"	-0.00939873478217364
