"time"	"v"	"nai"	"nass"	"ki"	"kss"	"cai"	"cass"	"cansr"	"cajsr"	"m"	"hf"	"hs"	"j"	"hsp"	"jp"	"mL"	"hL"	"hLp"	"a"	"iF"	"iS"	"ap"	"iFp"	"iSp"	"d"	"ff"	"fs"	"fcaf"	"fcas"	"jca"	"nca"	"ffp"	"fcafp"	"xs1"	"xs2"	"xk1"	"Jrelnp"	"Jrelp"	"CaMKt"	"IC1"	"IC2"	"C1"	"C2"	"O"	"IO"	"IObound"	"Obound"	"Cbound"	"D"	"qNet"	"INa"	"INaL"	"Ito"	"ICaL"	"IKr"	"IKs"	"IK1"	"dv"
"1"	0	-88.0259479104893	6.32943444722553	6.32949301290973	145.638817935206	145.63880241124	7.47510018163272e-05	7.32529586802761e-05	1.39019014583272	1.39039726807131	0.00732638392745359	0.698939377261382	0.698939278195574	0.698938562728287	0.455993956574036	0.698937968023932	0.00018740389698258	0.513635250420805	0.301986002694634	0.000999471539568882	0.999556105135394	0.844914556810411	0.000509257320729718	0.999556105182589	0.880824304698638	2.32749185194693e-09	0.999999990935718	0.954833892052717	0.999999990935718	0.999999937217393	0.999999990651402	0.00155602283148559	0.999999990935697	0.999999990935699	0.183036596046998	0.000192269874839929	0.996753042811357	1.47180272173209e-07	1.83972064679389e-07	0.00366079568057711	0.368034664568736	2.51137204589554e-05	6.62746133836485e-09	3.07030131002052e-05	9.85965597621395e-05	3.62501900534925e-05	0.0743742469253651	0.0581384917876059	0.499262199580507	12	0	-0.00235196487754206	-0.000305477680761581	-1.80215775472853e-07	-1.75694265435162e-07	-7.3417541258101e-08	-3.32690225631618e-06	-0.00452029226849421	79.9999994691809
"2"	1	-39.3433556761917	6.32999343792518	6.32952698751006	145.64123208895	145.639562107507	7.47495036849213e-05	7.32649990950077e-05	1.39018336233556	1.39039353029113	0.296463427311407	0.325293780975642	0.59572383120192	0.658315630054518	0.431551098160204	0.670850513277811	0.318108734627269	0.511420614910029	0.301543971564169	0.00583971225832494	0.96894600234761	0.844871893396881	0.00299495118613081	0.973803374089195	0.880773174379973	3.55831483948111e-05	0.999978533616985	0.954878426470399	0.999919549437457	0.99999416387496	0.999992295790522	0.00155614605262553	0.999991369755046	0.999967378345701	0.182951832617777	0.000324053108076441	0.997053897480903	4.42689703616079e-05	4.46260913306998e-05	0.00365900045340145	0.364695666559817	0.00177852887434837	8.65960845213821e-06	0.00156148009514634	0.000114068085238456	6.91883187072792e-05	0.0743704531642817	0.0581354196381251	0.499266808628933	12	0.442643247623929	-49.2732690115844	-0.369104418763511	0.0031031698115241	-0.00126539901410889	0.000258612503855676	2.06795634986945e-05	0.136112138152337	49.4503230473517
"3"	2	33.2034946956798	6.33436522721077	6.33129707636855	145.641208303907	145.639906845791	7.4768346196021e-05	0.000137821091059072	1.39017559628996	1.37462121021347	0.999349114396198	7.37858161448891e-09	0.360347928291124	0.521902315188211	0.364969172648317	0.572207857724847	0.99999936811193	0.508870638810037	0.301041925734205	0.221314002695894	0.799181693998253	0.821298974353453	0.173064781088285	0.870194489186506	0.86761282536511	0.679664188793367	0.924471754400041	0.95429239146398	0.90827423797683	0.996696446334553	0.989375616205164	0.00358676020549935	0.969075064823167	0.962243132450774	0.183609540913696	0.00363872755222168	0.997846294278143	0.139782021926528	0.141515111958849	0.00365740097543052	0.035562842739902	0.0254433556353433	0.26650731750075	0.0394461959387373	0.000818920166489717	0.000458614628135266	0.0743715979474842	0.058144699019805	0.499246729396404	12	-0.817902312123213	-6.69818032802181	-0.465941285847612	0.250899039939785	-1.67347490540574	0.00462428207028075	0.000674455674747472	0.000163437586432892	8.10121893433625
"4"	3	38.5015027397778	6.33458670073928	6.33315240778461	145.641161657061	145.639551648536	7.5033060381267e-05	0.000539841000276349	1.3901483661357	1.28514797372578	0.999628311221819	2.2007618333002e-09	0.178413790869178	0.384826599356388	0.288729847433873	0.464430623579306	0.999999801305795	0.5063326362442	0.30054060712158	0.470004983473413	0.643964217149961	0.787908084465709	0.390747747830355	0.768346609495862	0.847100602245675	0.937608150597713	0.813352330693754	0.953366745323836	0.791328086945696	0.989955788316911	0.976271500223076	0.203999203272311	0.920685801896397	0.910627273797909	0.184559316618933	0.00931833914663027	0.998585153911619	0.330987901759882	0.342224750300345	0.00366023429323855	0.0110186446750221	0.0672936814602048	0.200172353817178	0.0832794198224721	0.00334805060545127	0.00313982734051761	0.0743726380893098	0.0581590878288696	0.499216569334025	12	-2.56257195255747	-2.38252386493627	-0.405219303549816	0.47098300073238	-1.6319242065991	0.019732118593715	0.00181986964575308	9.76955017402371e-05	3.2812345579272
"5"	4	40.7561554327153	6.33466678398302	6.3344200842108	145.641099171131	145.639187277671	7.59329503584382e-05	0.00125022558315372	1.39006751307602	1.16108934275737	0.99970623725547	1.50757199234924e-09	0.084478118944611	0.280794495891612	0.225042006298752	0.374256908084669	0.999999872219916	0.503807291890317	0.3000401233253	0.632010007218131	0.518571254837827	0.755649806014463	0.540424226750494	0.674289517604099	0.826015397521686	0.987932284215727	0.712633045325467	0.952429316845755	0.688063068070906	0.982279174494805	0.963340943596492	0.629891226852529	0.87326557907804	0.861091534840595	0.185517216135565	0.01583978310438	0.999090603295542	0.382333243707555	0.406159713490659	0.0036778747963646	0.00533051558696503	0.0955794546078298	0.140495175999544	0.11193544707621	0.00620025827134086	0.00872693781235232	0.0743725155163069	0.0581736177198788	0.499186350382622	12	-3.92795251656582	-0.984143762382672	-0.374903001514242	0.553746310283637	-1.43054506387957	0.0371931649417188	0.00317435858281471	7.84545558732577e-05	1.50817017035114
"6"	5	41.8545339932454	6.33470579336044	6.33531160778241	145.641029047914	145.63892852826	7.77419889808763e-05	0.00210482775910775	1.38991769327246	1.04421393206474	0.999737836518457	1.25519860553445e-09	0.0391636971410886	0.203937708786199	0.174170560049002	0.300634545720987	0.999999896783487	0.5012945427043	0.299540472968162	0.731212052471118	0.417495377879674	0.724643093073273	0.635344709000156	0.590280813940732	0.805045229673251	0.997659181029244	0.623463722269885	0.951489207430615	0.597907763790533	0.97430184489806	0.950581649592376	0.844464547639345	0.827798116653105	0.814051151773042	0.186477497638828	0.0227726635666787	0.999421429622688	0.357217963824918	0.391915567904061	0.00371445825706941	0.0030792493113554	0.113124718600856	0.0972466745034517	0.12939750267632	0.00873348322750361	0.0167022468954858	0.074372017359666	0.058188264580836	0.499156115817574	12	-5.02761988854673	-0.46671715896706	-0.358685914505296	0.560833753510845	-1.26454630635098	0.0528359626609116	0.00464254388695631	7.05019516860297e-05	0.786713006431936
"7"	6	42.4543262535168	6.33473301434018	6.3359538381991	145.640956531108	145.638764501323	8.05606787677141e-05	0.00296420975065289	1.38970649110141	0.947464128441084	0.999753566993744	1.13606463580048e-09	0.0179549622469433	0.14776827457018	0.134300481914999	0.241104771144366	0.999999908094335	0.498794325889952	0.299041654665542	0.790535963082392	0.336082156684248	0.694879518233605	0.693689219423401	0.516113833063583	0.784414304634324	0.999536051923084	0.545081037532936	0.950548525856868	0.519428475027707	0.966225118781488	0.937991350187626	0.93377239071822	0.784484534181714	0.769499458357258	0.187438312054907	0.0299048432567673	0.999633864360229	0.308424215209912	0.350726430979681	0.00376662365428983	0.00192217806484296	0.123122360099235	0.0669961063494349	0.139090259904237	0.010808157237977	0.0263607990572329	0.0743715296526233	0.0582030064973859	0.499125876110079	12	-5.96349641320249	-0.245516228174954	-0.349095999700925	0.532566262425862	-1.13210106592638	0.0656893482129648	0.00618357191304107	6.65050738792103e-05	0.451829042094541
"8"	7	42.8107300566161	6.33475741120793	6.33642006787702	145.640884504399	145.638667170529	8.43608106467757e-05	0.00373657569058662	1.38945086209059	0.870689107550071	0.999762438728216	1.0708316657e-09	0.0081795084538767	0.106926416034793	0.103336734840265	0.193185941111536	0.99999991420212	0.496306578950058	0.298543667033038	0.825683064219654	0.270528014819141	0.666323768266804	0.729112991221849	0.450963835405979	0.764208470324301	0.99989728681032	0.47637891552689	0.949608010053997	0.451188488123332	0.958128375795938	0.925567807174255	0.970338470035957	0.743328816628657	0.727346277315557	0.188398899054821	0.0371301002626316	0.999769000734858	0.25789561525243	0.304629268846677	0.00382978600805335	0.00124649498736686	0.127963890104987	0.046061036831407	0.143500537080431	0.0124632415191929	0.0370803608065934	0.0743712530499298	0.0582178235697068	0.499095635023428	12	-6.79618280492964	-0.138415288446736	-0.342827493204736	0.490721135887369	-1.02624617691636	0.0759554699430018	0.00777898967009874	6.4238169259507e-05	0.278554972497445
"9"	8	43.0364182112571	6.33478165291465	6.33675687189077	145.640814397884	145.638613070603	8.90319062954431e-05	0.00436771828515083	1.38916830214326	0.81045852822343	0.999767880171557	1.03151735569275e-09	0.00371194937438117	0.0773100951097656	0.0794075231834017	0.154704527565896	0.999999917851401	0.493831239694695	0.298046508687898	0.846456206263298	0.217752510131135	0.638933284245934	0.750551908027456	0.393879030668973	0.7444624389291	0.999967872745824	0.416246167488008	0.948667985776553	0.391882519124069	0.950048597549492	0.913308811939105	0.985476239740325	0.704271379340551	0.687480448431851	0.189358891780612	0.0443915838866683	0.999854523739316	0.212581626217609	0.261165480831854	0.00390032765026056	0.000824872919344188	0.129336580997346	0.0316356537643234	0.144368946378813	0.0137827493743585	0.0483820789627673	0.0743712966458315	0.0582326996772418	0.499065394253018	12	-7.56195678413075	-0.0813064938911164	-0.338366157065345	0.446054954548785	-0.942042476849152	0.0841419253198054	0.00941843158389922	6.2842559486443e-05	0.181721816503796
"10"	9	43.1874097772038	6.3348063289281	6.33699636604352	145.640746822442	145.638585744415	9.44158715058794e-05	0.00483400603626559	1.38887379791791	0.763243379332776	0.999771444231224	1.00605822275588e-09	0.0016793604278099	0.0558668622744954	0.0609670146094127	0.123843339782994	0.999999920201302	0.491368246241936	0.297550178249408	0.858761563119973	0.17526817546412	0.612663764140062	0.763563627912624	0.343931035577584	0.725188668530888	0.999982031326655	0.363653906221266	0.947728618083456	0.340354924475908	0.942004950192745	0.901212185067164	0.991884354062651	0.667229525000196	0.649786716419639	0.190318094159067	0.0516570639894753	0.999908490162692	0.174004853280188	0.222503872129351	0.00397566649700124	0.000552352544171338	0.128410003264686	0.0217158141811778	0.142898393558408	0.0148484402122928	0.0599207724639574	0.0743717195402102	0.0582476225325027	0.499035154675638	12	-8.28372620426796	-0.0488186494814887	-0.334956837380192	0.403440271099912	-0.875663690347721	0.0907522673456837	0.0110943134075648	6.19255214408165e-05	0.125147690322512
