"x"
"v"	-4.75642212820898e-07
"nai"	-7.50271145006227e-06
"nass"	-7.50274372651843e-06
"ki"	8.55285444394514e-06
"kss"	8.55295137140278e-06
"cai"	1.76727448646717e-10
"cass"	6.15735421939093e-11
"cansr"	-6.51525262481192e-06
"cajsr"	-1.81378588637979e-06
"m"	-3.50929965122151e-10
"hf"	1.64718950297148e-08
"hs"	1.75112827308597e-08
"j"	2.32364159501679e-08
"hsp"	2.3261402485459e-08
"jp"	2.69563847237309e-08
"mL"	-1.6971439273697e-11
"hL"	5.24043033252597e-07
"hLp"	1.28280362362917e-05
"a"	-3.2365517176312e-11
"iF"	4.05035568606165e-11
"iS"	0.000152380881967075
"ap"	-1.64991959885548e-11
"iFp"	4.0049416740939e-11
"iSp"	0.000128526976877197
"d"	-2.64438644154892e-16
"ff"	1.27151390725514e-15
"fs"	2.81028926327589e-05
"fcaf"	1.26881745295885e-15
"fcas"	1.25954893180108e-10
"jca"	7.51936291010225e-13
"nca"	4.73682027195971e-09
"ffp"	1.45841113217698e-15
"fcafp"	1.45279598363788e-15
"xs1"	-6.25307183664744e-05
"xs2"	-1.3902626155993e-11
"xk1"	-1.48219314050579e-10
"Jrelnp"	5.40141292036035e-13
"Jrelp"	6.92298814690016e-13
"CaMKt"	-1.56746117075956e-06
"IC1"	4.37492648828658e-11
"IC2"	-5.48501537734529e-12
"C1"	-1.41028763083535e-15
"C2"	-6.69035859215933e-12
"O"	-2.25661779725412e-11
"IO"	-9.00630265318907e-12
"IObound"	0
"Obound"	0
"Cbound"	0
"D"	0
"qNet"	-0.0093053214448993
