"x"
"v"	80.0000317369851
"nai"	-7.49908944654532e-06
"nass"	-7.62591088748693e-06
"ki"	0.00493046581904924
"kss"	2.6013878667315e-16
"cai"	1.76794496405664e-10
"cass"	6.40355001269732e-11
"cansr"	-6.51728515585853e-06
"cajsr"	-1.80603981908953e-06
"m"	-1.37402381730563e-06
"hf"	2.04062660857634e-05
"hs"	2.80083676319579e-07
"j"	4.81270984532678e-08
"hsp"	1.17849196343541e-07
"jp"	5.61843752160425e-08
"mL"	-6.06198539524664e-08
"hL"	5.28290469485326e-07
"hLp"	1.2829295473321e-05
"a"	-9.32286826404665e-09
"iF"	2.92224112758275e-08
"iS"	0.000152381388619655
"ap"	-1.83427795502581e-09
"iFp"	3.34894210707006e-08
"iSp"	0.000128527444082547
"d"	-3.36768835404646e-14
"ff"	-1.2546166620102e-09
"fs"	2.81029901286768e-05
"fcaf"	-1.29890392216479e-09
"fcas"	-9.09239095112225e-11
"jca"	-1.21231879350129e-10
"nca"	1.61913247804894e-09
"ffp"	-5.0184666480408e-10
"fcafp"	-5.19561568865917e-10
"xs1"	-6.25308634374739e-05
"xs2"	-3.91168997799956e-11
"xk1"	3.90373606759359e-09
"Jrelnp"	4.2329148008775e-13
"Jrelp"	7.20656390945486e-13
"CaMKt"	-1.5674630499961e-06
"IC1"	6.29695266947054e-08
"IC2"	-6.30091840287579e-08
"C1"	-4.17657283682594e-13
"C2"	6.76753566549403e-11
"O"	2.00056143193255e-10
"IO"	-2.27656508512064e-10
"IObound"	0
"Obound"	0
"Cbound"	0
"D"	0
"qNet"	-0.00933752085663514
